Topic,Yield Score,Verdict,Is Tagged?,Years Found,Key Fact
Wilkie Collins 18241889,50,🔥 CRITICAL,YES,,William Wilkie Collins was an English sensation novelist.
The Idler 17581760,50,🔥 CRITICAL,YES,,Published weekly in the Universal Chronicle.
Overview of Chaucers Works,50,🔥 CRITICAL,YES,,Arnold surprisingly said Chaucer is not a classic .
Geoffrey Chaucer 13401400 Father of English Poetry,50,🔥 CRITICAL,YES,,Three literary periods defined his career .
Mary Wollstonecraft 17591797,50,🔥 CRITICAL,YES,,Advocated equality and education for women.
Reflections on the Revolution in France 1790,50,🔥 CRITICAL,YES,,"Published in 1790, Burke’s most famous work."
Translations as Cultural Bridges Rendering Indian Scriptures into English,50,🔥 CRITICAL,YES,,Charles Wilkins translated The Bhagavad Gita .
Doris May Lessing was a BritishZimbabwean novelist Asked in Exam,50,🔥 CRITICAL,YES,,Doris May Lessing was a British-Zimbabwean novelist.
Lyrical Ballads with a Few Other Poems 1798 Asked in Exam,50,🔥 CRITICAL,YES,,"Lyrical Ballads, with a Few Other Poems (1798)"
Semeiotikè and the Interplay of the Semiotic and the Symbolic,50,🔥 CRITICAL,YES,,Expanded Saussure’s semiotics with psychoanalysis .
The ScholarGipsy 1853,50,🔥 CRITICAL,YES,,A lyric poem by Matthew Arnold.
Charles Lamb 17751834 Personal Essays and Reflective Criticism,50,🔥 CRITICAL,YES,,Wrote under pen-name Elia .
Anthony Burgesss novels include,50,🔥 CRITICAL,YES,,"The Malayan trilogy,"
Henry David Thoreau 18171862 Walden 1854 and Civil Disobedience 1849,50,🔥 CRITICAL,YES,,Walden (1854) is Thoreau’s magnum opus .
Prothalamion 1596  Nuptial Song,50,🔥 CRITICAL,YES,,Written for Somerset sisters’ double marriage .
The Homecoming 1964Asked in Exam,50,🔥 CRITICAL,YES,,The Homecoming (1964)
The French Revolution and the Rise of the Romantic Age 17981815,50,🔥 CRITICAL,YES,,The French Revolution began in 1789–1799.
Why I Write 1946,50,🔥 CRITICAL,YES,,"Publication year 1946, ."
James Matthew Barrie,50,🔥 CRITICAL,YES,,Sir James Matthew Barrie was a Scottish writer .
The Return of the Native 1878,50,🔥 CRITICAL,YES,,First appeared in Belgravia magazine.
A Tale of a Tub 17041710,50,🔥 CRITICAL,YES,,Religious allegory written 1704–1710.
Elizabeth Barrett Browning 18061861,50,🔥 CRITICAL,YES,,Born in Durham to a West India planter.
Christina Rossetti 18301894,50,🔥 CRITICAL,YES,,Contributed seven poems to The Germ .
Goblin Market 1862,50,🔥 CRITICAL,YES,,"Written in April 1859, published 1862 ."
Immanuel Kant 17241804 Reason Morality and Aesthetics,50,🔥 CRITICAL,YES,,Critique of Pure Reason (1781/1787) .
Thomas Hobbes 15881679 Social Contract and Sovereignty,50,🔥 CRITICAL,YES,,"Thomas Hobbes (1588–1679), English philosopher ."
Chronological List of Major Sanskrit Dramatists and Their Works,50,🔥 CRITICAL,YES,,"Bhāsa (c. 1st–3rd century CE): Svapnavāsavadattam, Urubhaṅgam, Pratimānāṭaka, Dūtaghaṭotkaca – Rediscovered in the early 20th century, known for dramatizing episodes from epics and experimenting with structure."
Major Works  The Pilgrims Progress,50,🔥 CRITICAL,YES,,Grace Abounding to the Chief of Sinners (1666).
Washington Irving 17831859 Forging American Folklore and National Myth,50,🔥 CRITICAL,YES,,Contains “Rip Van Winkle” .
1709 Pastorals Asked in Exam,50,🔥 CRITICAL,YES,,1709: Pastorals
Julia Kristeva b 1941 Semiotics Psychoanalysis and the Speaking Body,50,🔥 CRITICAL,YES,,Central figure in structuralist and poststructuralist thought .
The Death of the Author 1967,50,🔥 CRITICAL,YES,,“To give a text an author…”
JeanJacques Rousseau 17121778,50,🔥 CRITICAL,YES,,Rousseau born in Geneva in 1712.
DANTE GABRIEL ROSSETTI 18281882,50,🔥 CRITICAL,YES,,Founded the Pre-Raphaelite Brotherhood in 1848.
They were sometimes called simply the Thirties poets,50,🔥 CRITICAL,YES,,"""MacSpaunday"" was a name invented by Roy Campbell in his Talking Bronco (1946), to designate a composite figure made up of the four poets:"
DECLINE AND FALL 1928,50,🔥 CRITICAL,YES,,Decline and Fall published in 1928.
Jeremy Colliers Short View 1698,50,🔥 CRITICAL,YES,,Pamphlet: Short View of the Immorality and Profaneness .
Code Heroic Extra Mira,50,🔥 CRITICAL,YES,,"Dryden was present at Cromwell's funeral in 1658 and one year later published his first important poem, Heroic Stanzas (1659), eulogizing the leader."
LAllegro 1631,50,🔥 CRITICAL,YES,,Title means “the happy man” in Italian .
Sean OCasey 1880  1964,50,🔥 CRITICAL,YES,,Irish playwright portraying Dublin’s working-class life.
ODE ON INDOLENCE Asked in Exam,50,🔥 CRITICAL,YES,,🌿 ODE ON INDOLENCE
Where Angels Fear to Tread 1905,50,🔥 CRITICAL,YES,,Title from Pope’s An Essay on Criticism.
TO AUTUMN Asked in Exam,50,🔥 CRITICAL,YES,,🍂 TO AUTUMN
The Island of Doctor Moreau 1896,50,🔥 CRITICAL,YES,,"Published in 1896, classic science fiction novel."
What female heart can gold despise,50,🔥 CRITICAL,YES,,Ode to a Distant Prospect of Eton College (written in 1747 and published anonymously)
William Collins 17211759,50,🔥 CRITICAL,YES,,William Collins — leading pre-Romantic English poet.
The Vicar of Wakefield 1766  Key 25 Points,50,🔥 CRITICAL,YES,,Novel published in two volumes in 1766.
Mass Media Theory Communication Influence and Audience Dynamics,50,🔥 CRITICAL,YES,,“The medium is the message.”
The AnniversaryAsked in Exam,50,🔥 CRITICAL,YES,,"""The Anniversary"""
Paul Gilroy b 1956 The Black Atlantic and Racial Modernity,50,🔥 CRITICAL,YES,,The Black Atlantic (1993): .
Maurice 1971  by EM Forster,50,🔥 CRITICAL,YES,,"Written in 1913–14, published posthumously in 1971."
The Man Who Would Be King 1888,50,🔥 CRITICAL,YES,,First appeared in The Phantom Rickshaw .
RikkiTikkiTavi short story Asked in Exam,50,🔥 CRITICAL,YES,,"""Rikki-Tikki-Tavi"" (short story)"
Dipesh Chakrabarty b 1948 Subaltern Studies and Provincializing Europe,50,🔥 CRITICAL,YES,,Best known for Provincializing Europe (2000) .
First three books present events through multiple viewpoints,50,🔥 CRITICAL,YES,,The four novels are:
G M Hopkins 18441889,50,🔥 CRITICAL,YES,,Known for his innovative poetic style and “sprung rhythm.”
Key Aristotelian Terms and the Nature of Tragedy,50,🔥 CRITICAL,YES,,"Central principle is mimesis, meaning “imitation” ."
Little Gidding 1942,50,🔥 CRITICAL,YES,,Completion delayed due to Eliot’s poor health. ✅
Aldous Huxley 18941963 Life and Literary Career,50,🔥 CRITICAL,YES,,Nominated nine times for Nobel Prize .
Moll Flanders 1722 by Daniel Defoe,50,🔥 CRITICAL,YES,,Full title is extremely long and detailed.
Asked in Exam He fought for King Charles I,50,🔥 CRITICAL,YES,,He fought for King Charles I.
John Milton When I Consider How My Light Is Spent On His Blindness,50,🔥 CRITICAL,YES,,Written after Milton lost his sight.
Chaucers Third Period  The Canterbury Tales,50,🔥 CRITICAL,YES,,Written mainly in heroic couplets .
Sir William DAvenant 16061668,50,🔥 CRITICAL,YES,,Became poet laureate after The Witts (1634).
He was one of us  Marlows view on Jim Asked in Exam,50,🔥 CRITICAL,YES,,"""He was one of us"" — Marlow’s view on Jim."
The Canterbury Tales  Plan and Prologue,50,🔥 CRITICAL,YES,,Twenty-nine pilgrims meet at the Tabard Inn .
Carol Ann Duffy 1955,50,🔥 CRITICAL,YES,,"Professor of Contemporary Poetry, Manchester Metropolitan University."
Robert Graves 18951985,50,🔥 CRITICAL,YES,,"English poet, novelist, and scholar."
Friedrich Nietzsche 18441900 Nihilism Tragedy and Cultural Critique,50,🔥 CRITICAL,YES,,Famous declaration: “God is dead.”
James Thomson 17001748  The Seasons 1726,50,🔥 CRITICAL,YES,,Complete The Seasons appeared in 1730.
John Dyer 16991757  Grongar Hill 1726,50,🔥 CRITICAL,YES,,John Dyer remembered chiefly for Grongar Hill.
Every Man in His Humour 1598,50,🔥 CRITICAL,YES,,First performed in 1598 by Lord Chamberlain’s Men .
Virgil 70 BC19 BC Poet of Empire and Destiny,50,🔥 CRITICAL,YES,,Composed in dactylic hexameter .
Every Man out of His Humour 1599 Asked in Exam,50,🔥 CRITICAL,YES,,Every Man out of His Humour (1599)
A Room of Ones Own,50,🔥 CRITICAL,YES,,"Divided into six chapters, the work is based on two lectures Woolf delivered in October 1928 at two women's colleges, Newnham College and Girton College, of the University of Cambridge."
City Comedy,50,🔥 CRITICAL,YES,,Bartholomew Fair (1614) by Jonson .
Jürgen Habermas b 1929 Communicative Rationality and the Public Sphere,50,🔥 CRITICAL,YES,,Public Sphere central to Habermas .
Ann Veronica 1909,50,🔥 CRITICAL,YES,,Published in 1909 as a New Woman novel.
The Jacobean Era 16031625,50,🔥 CRITICAL,YES,,James VI of Scotland became James I
Drama and Prose in the Age of Milton,50,🔥 CRITICAL,YES,,James Shirley wrote The Lady of Pleasure (1637).
An Apology for Poetry 1595 The First English Critical Treatise,50,🔥 CRITICAL,YES,,"Written around 1580 and published posthumously in 1595, An Apology for Poetry stands as the first major work of literary criticism in English. The text is the first major piece of literary criticism in English . Sidney was provoked to compose his defence in response to Stephen Gosson’s The School of Abuse (1579), a moralistic attack on poetry and drama that had been dedicated ironically to Sidney himself. The Apology addresses both Plato’s denigration of poetry and more general objections against the art, while also engaging with contemporary figures such as Edmund Spenser and the Elizabethan stage. Sidney begins candidly, remarking, “having slipped into the title of a poet, [I] am provoked to say something unto you in the defense of that my unelected vocation.” ."
ODE TO PSYCHE Asked in Exam,50,🔥 CRITICAL,YES,,💫 ODE TO PSYCHE
Funeral Blues 1936,50,🔥 CRITICAL,YES,,"""Funeral Blues"" first appeared in The Ascent of F6. 📝"
The Waste Land 1922,50,🔥 CRITICAL,YES,,First appeared in The Criterion and The Dial.
Lyrical Ballads with Other Poems 1800 Asked in Exam,50,🔥 CRITICAL,YES,,"Lyrical Ballads, with Other Poems (1800)"
Look Back in Anger 1956,50,🔥 CRITICAL,YES,,Look Back in Anger written in 1956 .
John Ruskin 18191900 Truth Morality and the Pathetic Fallacy,50,🔥 CRITICAL,YES,,The Stones of Venice .
The Golden Notebook a 1962 novel by Doris Lessing,50,🔥 CRITICAL,YES,,"Explores ""inner space fiction"", societal and mental breakdowns."
For the Time Being 1944 Asked in Exam,50,🔥 CRITICAL,YES,,"For the Time Being, 1944"
W H Auden 19071973 Life and Career,50,🔥 CRITICAL,YES,,Formed friendships with Spender and Isherwood.
Section V  What the Thunder Said,50,🔥 CRITICAL,YES,,Title suggests divine revelation through thunder.
Notable Poems,50,🔥 CRITICAL,YES,,"""Christabel"""
Wyndham Lewis 18821957,50,🔥 CRITICAL,YES,,Wyndham Lewis founded the Vorticist movement in England.
Aristophanes c 446386 BCE The Father of Comedy,50,🔥 CRITICAL,YES,,Perfected Old Comedy with bold satire.
Nāṭaka The Classical Tradition of Sanskrit Drama,50,🔥 CRITICAL,YES,,Svapnavāsavadattam broke norms .
Postfeminism Beyond the Waves and into Cultural Contradictions,50,🔥 CRITICAL,YES,,"Postfeminism  is a complex and often contested term used to describe a set of reactions to—and departures from—earlier feminist movements, particularly second-wave and third-wave feminism. Emerging as a discourse popularised by the mass media in the 1990s, postfeminism reflects a reaction against the feminist theories of the 1970s and 1980s, often framing those movements as outdated or overly prescriptive. It does not merely signal a movement beyond feminism, but rather a critical space where feminism is reassessed, problematized, and rearticulated in response to contemporary social, cultural, and media conditions."
Henry Howard Earl of Surrey 15181547,50,🔥 CRITICAL,YES,,Poems published in Tottel’s Miscellany (1557) .
Thomas Sackville Earl of Dorset,50,🔥 CRITICAL,YES,,Remembered for The Induction .
John Dennis 16571734,50,🔥 CRITICAL,YES,,Authored The Usefulness of the Stage (1698).
University Wits,50,🔥 CRITICAL,YES,,Heroic themes with significant historical figures.
Gothic Fiction,45,🔥 CRITICAL,YES,2024,The term comes from Gothic architecture.
Poems,45,🔥 CRITICAL,YES,"2024, 2025",On the Death of Richard West (written in 1742)
Deconstruction,45,🔥 CRITICAL,YES,"2024, 2025","Deconstruction is a critical approach that questions the stability of meaning and the reliability of language in literature and philosophy. First introduced by Jacques Derrida in his seminal work Of Grammatology (1967), the method challenges traditional assumptions about the relationship between text, author, and reality. Derrida’s famous declaration, “There is nothing outside the text”,  emphasizes that meaning cannot be anchored in external reality but emerges only through the play of signifiers within language."
Chapter 2,45,🔥 CRITICAL,YES,2025,"enaissance criticism emerged as a vital intellectual movement that redefined literature’s role within culture, situating it at the heart of humanist inquiry and artistic tradition. Rooted in the recovery of classical texts, it emphasized the unity of form and content, ideas inherited from antiquity that would later develop into the principles of literary neoclassicism. The poet and author, within this framework, were entrusted with the task of preserving and transmitting a long literary heritage, reinforcing literature’s centrality to cultural identity. In 1498, Renaissance criticism was born with the recovery of classical texts, such as the Latin translation of Aristotle’s Poetics by Giorgio Valla . Aristotle’s Poetics became one of the most influential works of the period, shaping critical discourse until the late eighteenth century."
THE RAMBLER,45,🔥 CRITICAL,YES,2024,Periodical essays published from 1750 to 1752.
Nāṭyaśāstra attributed to sage Bharata,40,🔥 CRITICAL,YES,,"Eight rasas, later nine, identified"
IA Richards 18931979  Foundational Thinker of Modern Literary Criticism,40,🔥 CRITICAL,YES,,"Ivor Armstrong Richards was an English educator and literary critic whose pioneering work laid the groundwork for the New Criticism, though he is not formally categorized alongside figures like John Crowe Ransom, Cleanth Brooks, Robert Penn Warren, and Allen Tate. Renowned for his belief that “the two pillars upon which a theory of criticism must rest are an account of value and an account of communication,”  Richards sought to study literary interpretation with the precision of a science. His major works, including Science and Poetry (1926) and The Philosophy of Rhetoric (1936),  explored the nature of poetic language, communication, and aesthetic value. In The Philosophy of Rhetoric, he introduced the influential distinction between “tenor” and “vehicle” in metaphor. Richards emphasized close reading as a method to uncover how literature operates as a self-contained aesthetic object, a principle central to the New Critical ethos. He investigated the techniques readers employ in engaging with texts and identified four factors that determine a word’s total meaning: sense, feeling, tone, and intention. Often called the “father of New Criticism,” Richards’s systematic, reader-focused approach revolutionized literary studies and set the stage for twentieth-century formalist criticism."
Epithalamion 1595  Wedding Ode,40,🔥 CRITICAL,YES,,"Ode for Elizabeth Boyle, Spenser’s bride ."
Amoretti 1595  Spensers Sonnet Sequence,40,🔥 CRITICAL,YES,,Published in 1595 .
Edward Bond 1934,40,🔥 CRITICAL,YES,,"Narrow Road to the Deep North (1968),"
12 Friar Second the Friar named Hubert appears,40,🔥 CRITICAL,YES,,"“There was a Friar, a wanton and merry fellow” ."
Elizabeth Jennings was an English poet Asked in Exam,40,🔥 CRITICAL,YES,,Elizabeth Jennings was an English poet.
Walter Scott 17711832,40,🔥 CRITICAL,YES,,"Scottish novelist, poet, and historian."
The Old English Baron 17771778,40,🔥 CRITICAL,YES,,Written as rival to The Castle of Otranto.
Waiting for Godot 1952 gained immediate success,40,🔥 CRITICAL,YES,,Translated Waiting for Godot into English.
Harold Pinter British playwright screenwriter and director,40,🔥 CRITICAL,YES,,"He was influenced by Samuel Beckett and the Theatre of the Absurd,"
Sir Thomas Wyatt 15031541,40,🔥 CRITICAL,YES,,Introduced first sonnets into English .
Kingsley Amis 19221995,40,🔥 CRITICAL,YES,,"Amis was a representative of called ""The Movement,"""
The Jew of Malta c 15891590 printed 1633 Last printed work,40,🔥 CRITICAL,YES,,"The play opens with Machiavel, who introduces ""the tragedy of a Jew."""
Tamburlaine,40,🔥 CRITICAL,YES,,"Ben Jonson called Marlowe’s verse ""mighty line"" ."
The Development of Literary Forms,40,🔥 CRITICAL,YES,,Gap between Cynewulf’s poems and Brut .
Giovanni Boccaccio  The Decameron and the Vernacular,40,🔥 CRITICAL,YES,,Promoted Tuscan vernacular over Latin .
The Spanish Tragedy 1587,40,🔥 CRITICAL,YES,,First English play of revenge tragedy.
Fern Hill 1946,40,🔥 CRITICAL,YES,,“Fern Hill” by Dylan Thomas celebrates childhood. ✅
The Age of Anxiety 1947,40,🔥 CRITICAL,YES,,Written by W. H. Auden in 1947.
Mexico trip inspired The Power and the Glory,40,🔥 CRITICAL,YES,,"Works include ""Catholic Trilogy"": Power, Heart, Affair."
Cakes and Ale or The Skeleton in the Cupboard 1930,40,🔥 CRITICAL,YES,,Novel exposes social snobbery against Rosie Driffield.
The Power and the Glory 1940 Asked in Exam,40,🔥 CRITICAL,YES,,The Power and the Glory (1940)
Under Milk Wood 1954,40,🔥 CRITICAL,YES,,Under Milk Wood is a radio play.
Marxism Historical Materialism and Literary Criticism,40,🔥 CRITICAL,YES,,"Terry Eagleton on Marxist Criticism : “Marxist criticism is not merely a ‘sociology of literature,’ concerned with how novels get published and whether they mention the working class. Its aim is to explain the literary work more fully; and this means a sensitive attention to its forms, styles and meanings. But it also means grasping those forms, styles and meanings as the product of a particular history.”"
The Westminster Review 18241914,40,🔥 CRITICAL,YES,,Founded in 1823 by Philosophical Radicals.
The London Magazine 17321829,40,🔥 CRITICAL,YES,,Began in 1732; revived in 1820.
A Vindication of the Rights of Woman 1792,40,🔥 CRITICAL,YES,,Published in 1792; cornerstone of feminist thought.
Abhinavagupta Philosopher of Aesthetics and Spiritual Unity,40,🔥 CRITICAL,YES,,His key commentary was Abhinavabhāratī .
LIFE OF LORD BYRON,40,🔥 CRITICAL,YES,,Byron spent childhood years in Aberdeen.
PLAYS AND DRAMAS,40,🔥 CRITICAL,YES,,Manfred (1817) explores guilt and defiance.
Clara Reeve 17291807,40,🔥 CRITICAL,YES,,Best known for The Old English Baron (1777).
The Chimney Sweeper Songs of Innocence  Experience,40,🔥 CRITICAL,YES,,Appears in both Innocence (1789) and Experience (1794).
Clara Reeve refined Walpoles style in The Old English Baron Asked in Exam,40,🔥 CRITICAL,YES,,Clara Reeve refined Walpole’s style in The Old English Baron.
Angela McRobbie b 1951 Feminism Media and Popular Culture,40,🔥 CRITICAL,YES,,"British cultural theorist, feminist, Birmingham School ."
ODE ON MELANCHOLY Asked in Exam,40,🔥 CRITICAL,YES,,🌧️ ODE ON MELANCHOLY
Bram Stokers Dracula remains the classic Gothic horror Asked in Exam,40,🔥 CRITICAL,YES,,Bram Stoker’s Dracula remains the classic Gothic horror.
Richard Hoggart 19182014 Popular Culture and the Birth of Cultural Studies,40,🔥 CRITICAL,YES,,"Introduced term ""cultural studies"" in 1964 ."
JeanPaul Sartre 19051980 Existential Freedom and Phenomenological Ontology,40,🔥 CRITICAL,YES,,Leading figure of existentialism and phenomenology .
Edgar Allan Poe 18091849 Unity of Effect and the Poetics of Composition,40,🔥 CRITICAL,YES,,Poe emphasized “Unity of Effect” .
Goethe was a personal hero of Byrons,40,🔥 CRITICAL,YES,,"She walks in beauty, like the night"
To a Skylark 1820,40,🔥 CRITICAL,YES,,"Written in 1820 near Livorno, Italy."
The Mask of Anarchy 1819 published 1832,40,🔥 CRITICAL,YES,,Written after the Peterloo Massacre tragedy.
Terry Eagleton b 1943 Marxism Theory and the Politics of Literature,40,🔥 CRITICAL,YES,,Literary Theory: An Introduction (1983) .
Walter Pater 18391894 Aesthetic Criticism and the Philosophy of Style,40,🔥 CRITICAL,YES,,Studies in the History of the Renaissance (1873) .
Herbert Marcuse 18981979 Eros Liberation and OneDimensional Society,40,🔥 CRITICAL,YES,,Eros and Civilization (1955) — .
Thomas Kyd 15581594 Father of Revenge Tragedy,40,🔥 CRITICAL,YES,,Initiated revenge tragedy genre .
Venerable Bede 672735 Asked in Exam,40,🔥 CRITICAL,YES,,Venerable Bede (672-735) :
Seven Deadly Sins distract him Asked in Exam,40,🔥 CRITICAL,YES,,Seven Deadly Sins distract him.
Shakespeares Plays,40,🔥 CRITICAL,YES,,"Shakespeare wrote 38 plays, 2 poems, 154 sonnets ."
The Dry Salvages 1941,40,🔥 CRITICAL,YES,,Written in native strong-stress metre. ✅
The Razors Edge 1944,40,🔥 CRITICAL,YES,,The Razor’s Edge published in 1944.
Troilus and Criseyde poem of 8000 lines,40,🔥 CRITICAL,YES,,Source text: Boccaccio’s Il Filostrato .
Of Grammatology 1967,40,🔥 CRITICAL,YES,,"This is considered Derrida’s most influential and foundational text of deconstruction. The central argument challenges the Western philosophical tradition’s privileging of speech over writing — a tendency Derrida terms phonocentrism . He critiques the idea that speech embodies full presence while writing is merely a derivative “fall” or secondary system. By analyzing major thinkers such as Claude Lévi-Strauss, Ferdinand de Saussure, Jean-Jacques Rousseau, Martin Heidegger, Edmund Husserl, Étienne Condillac, Louis Hjelmslev, Roman Jakobson, Gottfried Wilhelm Leibniz, André Leroi-Gourhan, and William Warburton, Derrida reveals how their philosophies of language and writing collapse under their own contradictions, exposing what he calls aporias (logical impasses) and ellipses (gaps in argument) ."
JOHNSONS DICTIONARY,40,🔥 CRITICAL,YES,,Published on 15 April 1755.
Laurence Sterne 17131768 The Master of Digression and Sentiment,40,🔥 CRITICAL,YES,,The novel Tristram Shandy appeared in 1759.
The Rivals 1775,40,🔥 CRITICAL,YES,,His first play The Rivals premiered 1775.
Ranajit Guha b 1923 Subaltern Historiography and the Peoples History,40,🔥 CRITICAL,YES,,Defined subaltern as “the demographic difference...” .
The LotosEaters Asked in Exam,40,🔥 CRITICAL,YES,,🪶 The Lotos-Eaters
The Lady of Shalott  Asked in Exam,40,🔥 CRITICAL,YES,,"""The Lady of Shalott"""
Mazeppa 1819,40,🔥 CRITICAL,YES,,A long narrative poem about a seventeenth-century military leader of Ukraine.
Arjun Appadurai b 1949 Global Cultural Flows and the Social Imaginary,40,🔥 CRITICAL,YES,,Modernity at Large (1996) .
Quick Exam Notes  Jonson  Swift Trivia,40,🔥 CRITICAL,YES,,"Alfred Tennyson’s ""Ode on the Death of the Duke of Wellington"" not an option ."
Survival of Old English Manuscripts,40,🔥 CRITICAL,YES,,Beowulf Manuscript written c.1000 AD
Section II  A Game of Chess,40,🔥 CRITICAL,YES,,Title symbolizes manipulation in human relationships.
Shortstory collections,40,🔥 CRITICAL,YES,,The Prussian Officer and Other Stories (1914)
Dubliners 1914 by James Joyce,40,🔥 CRITICAL,YES,,Dubliners written between 1904–07 and published 1914.
Poetry collections,40,🔥 CRITICAL,YES,,Amores (1916)
Drapiers Letters 17241725,40,🔥 CRITICAL,YES,,Seven pamphlets published 1724–25
The Rambler 17501752,40,🔥 CRITICAL,YES,,Periodical by Samuel Johnson .
Historical plays Asked in Exam,40,🔥 CRITICAL,YES,,Historical plays—
Viktor Shklovsky 18931984 Defamiliarization and the Science of Prose,40,🔥 CRITICAL,YES,,"Russian Formalist theorist, active 1893–1984 ."
V K Gokak 19091992 English Identity and Linguistic Plurality,40,🔥 CRITICAL,YES,,English in India: Its Present and Future (1964) .
Tithonus 1859 Asked in Exam,40,🔥 CRITICAL,YES,,"""Tithonus"" (1859)"
Idylls of the King 1859 Asked in Exam,40,🔥 CRITICAL,YES,,Idylls of the King (1859)
The Bloomsbury Group 19071930,40,🔥 CRITICAL,YES,,Influenced by G.E. Moore’s Principia Ethica (1903).
The Rise of Modernism and Experimental Narratives,40,🔥 CRITICAL,YES,,Writers turned away from romantic ideals.
The Ode and Poetrys New Classicism,40,🔥 CRITICAL,YES,,Abraham Cowley wrote first Pindaric odes.
Paradise Lost  Plot Summary,40,🔥 CRITICAL,YES,,"Poem begins in medias res, banished angels."
Juno and the Paycock 1924,40,🔥 CRITICAL,YES,,"Produced 1924, published 1925 at Abbey Theatre."
Puck of Pooks Hill 1906  Rudyard Kipling,40,🔥 CRITICAL,YES,,"Collection of fantasy stories by Kipling, 1906."
The Man Who Was Thursday 1908,40,🔥 CRITICAL,YES,,Full title: The Man Who Was Thursday: A Nightmare.
The Clayhanger Family Series 19101918,40,🔥 CRITICAL,YES,,Series published between 1910 and 1918.
Arnold Bennett 18671931,40,🔥 CRITICAL,YES,,"Born in Hanley, Staffordshire Potteries region."
Alexander Popes Life 16881744,40,🔥 CRITICAL,YES,,"At 20 met Wycherley, Addison, Swift."
KitCat Club,40,🔥 CRITICAL,YES,,Early 18th-century Whig literary club.
Scriblerus Club,40,🔥 CRITICAL,YES,,Swift and Pope were leading members.
Part III Laputa and Beyond,40,🔥 CRITICAL,YES,,"Gulliver adrift by pirates, reaches Laputa."
William Blake 17571827 Visionary Poet and Artist,40,🔥 CRITICAL,YES,,Coleridge’s Biographia Literaria notes friendship .
Locksley Hall,40,🔥 CRITICAL,YES,,"Explores ""young life, its good side, its deficiencies, and its yearnings."""
Roman Jakobson 18961982 Structuralism and Literary Science,40,🔥 CRITICAL,YES,,Defined criticism’s object as “literariness” .
Saussures Definition of Language as a System of Signs,40,🔥 CRITICAL,YES,,Signs gain value from structural relations.
Isabella or The Pot of Basil 1818,40,🔥 CRITICAL,YES,,Written by John Keats in 1818.
Langue and Parole Saussures Foundational Linguistic Distinction,40,🔥 CRITICAL,YES,,"Langue is social, collective, abstract system ."
Part I Lilliput,40,🔥 CRITICAL,YES,,"Narrated by Lemuel Gulliver, surgeon, captain."
Areopagitica 1644,40,🔥 CRITICAL,YES,,Published in sixteen forty-four
Gullivers Travels 1726,40,🔥 CRITICAL,YES,,Full title has been .
The War of the Worlds 1898,40,🔥 CRITICAL,YES,,Serialized in 1897 and published in 1898.
The Invisible Man 1897,40,🔥 CRITICAL,YES,,Published in 1897 as a science fiction novel.
Howards End 1910,40,🔥 CRITICAL,YES,,Published in 1910 by E.M. Forster.
Robert Herrick 15911674,40,🔥 CRITICAL,YES,,Published Noble Numbers (1647).
Set in late 19th century Borneo jungle Asked in Exam,40,🔥 CRITICAL,YES,,Set in late 19th century Borneo jungle.
Traffics and Discoveries 1904 12 stories Asked in Exam,40,🔥 CRITICAL,YES,,"Traffics and Discoveries (1904), 12 stories"
Preface to Shakespeare 1765 Nature Genius and Faults,40,🔥 CRITICAL,YES,,Unities of Time and Place optional .
Andrea del Sarto From Men and Women,40,🔥 CRITICAL,YES,,Known as “The Faultless Painter.”
The Pied Piper of Hamelin Robert Browning,40,🔥 CRITICAL,YES,,Full title: The Pied Piper of Hamelin: A Child’s Story.
Anatomy of Criticism 1957 A Structural Framework for Literature,40,🔥 CRITICAL,YES,,"Spring = Comedy, myth of birth ."
Umberto Eco 19322016 Semiotics Fiction and Cultural Interpretation,40,🔥 CRITICAL,YES,,Wrote The Aesthetics of Thomas Aquinas .
Easter 1916 Asked in Exam,40,🔥 CRITICAL,YES,,"Easter, 1916."
THE BLESSED DAMOZEL 1850,40,🔥 CRITICAL,YES,,Rossetti’s most famous poem and painting.
The Jungle Book 1894,40,🔥 CRITICAL,YES,,"``""Kaa's Hunting"" (M) (short story)"
Mary Hiatt The Way Women Write 1977  Gendered Style and Critical Bias,40,🔥 CRITICAL,YES,,"In her influential work The Way Women Write (1977) , feminist scholar Mary Hiatt interrogates the critical standards by which women's writing has historically been judged. She argues that male critics have evaluated feminine writing through the lens of masculine stylistic norms, leading to systematically biased and reductive assessments of women's literary contributions. Hiatt’s central thesis maintains that there exists a distinctive female literary style, shaped by different social, psychological, and experiential realities, which cannot be adequately understood when measured against male-authored texts. By highlighting the critical misrecognition rooted in gendered expectations, Hiatt contributes to the broader feminist project of reclaiming women’s voices, advocating for a literary criticism that respects and analyzes women's texts on their own terms. Her work aligns with gynocritical approaches advanced by scholars like Elaine Showalter, insisting that a feminist reading must deconstruct the masculine bias embedded in traditional literary evaluation."
Samuel Butler 161280  Hudibras 1663,40,🔥 CRITICAL,YES,,Samuel Butler’s fame rests on Hudibras.
Thomas Hobbes 15881679,40,🔥 CRITICAL,YES,,Best known for Leviathan (1651).
George Herbert 15931633,40,🔥 CRITICAL,YES,,"On deathbed, gave manuscript of The Temple."
SymbolsClothes Asked in Exam,40,🔥 CRITICAL,YES,,Symbols/Clothes:
The Lake Isle of Innisfree  Asked in Exam,40,🔥 CRITICAL,YES,,"""The Lake Isle of Innisfree"","
